Vector partition: 1515, Key insertions: 288071

Vector partition: 2932, Key insertions: 286756

Vector partition: 3862, Key insertions: 287926

Vector partition: 1753, Key insertions: 286738

Vector partition: 1143, Key insertions: 288141

Vector partition: 3023, Key insertions: 287714

Vector partition: 3508, Key insertions: 286778

Vector partition: 73, Key insertions: 287422

Vector partition: 519, Key insertions: 287578

Vector partition: 721, Key insertions: 287235

Vector partition: 1512, Key insertions: 287803

Vector partition: 2938, Key insertions: 288172

Vector partition: 4051, Key insertions: 287459

Vector partition: 556, Key insertions: 286920

Vector partition: 2080, Key insertions: 287554

Vector partition: 3055, Key insertions: 287051

Vector partition: 2992, Key insertions: 288507

Vector partition: 179, Key insertions: 288063

Vector partition: 1374, Key insertions: 287757

Vector partition: 3545, Key insertions: 287590

Vector partition: 3704, Key insertions: 288255

Vector partition: 3998, Key insertions: 287543

Vector partition: 2649, Key insertions: 288481

Vector partition: 2881, Key insertions: 287191

Vector partition: 154, Key insertions: 287775

Vector partition: 2767, Key insertions: 287072

Vector partition: 152, Key insertions: 287471

Vector partition: 2134, Key insertions: 286633

